 r72102,    6.0077648962965418        8.21600004E-13
 r72102,    6.0162351105564342        8.22900016E-13
 r72102,    6.0237446504059253        8.24200029E-13
 r72102,    6.0304915158916357        8.25499987E-13
 r72102,    6.0368843673223527        8.26800000E-13
 r72102,    6.0434812638761448        8.28100013E-13
 r72102,    6.0509066461170926        8.29400025E-13
 r72102,    6.0596653222571630        8.30699984E-13
 r72102,    6.0699998576923377        8.31999996E-13
 r72102,    6.0818613275371547        8.33300009E-13
 r72102,    6.0949715740141883        8.34600021E-13
 r72102,    6.1089123480333223        8.35900034E-13
 r72102,    6.1232324959256612        8.37199992E-13
 r72102,    6.1375325924871467        8.38500005E-13
 r72102,    6.1515079068492629        8.39800018E-13
 r72102,    6.1649383071888071        8.41100030E-13
 r72102,    6.1777188474784932        8.42399989E-13
 r72102,    6.1898371903178520        8.43700001E-13
 r72102,    6.2014001122517488        8.45000014E-13
 r72102,    6.2126464329378983        8.46300027E-13
 r72102,    6.2239438239342260        8.47599985E-13
 r72102,    6.2357268048512999        8.48899998E-13
 r72102,    6.2483654666967903        8.50200010E-13
 r72102,    6.2620079926892460        8.51500023E-13
 r72102,    6.2765045247281543        8.52800035E-13
 r72102,    6.2914665056526360        8.54099994E-13
 r72102,    6.3064055459706996        8.55400006E-13
 r72102,    6.3208777297592151        8.56700019E-13
 r72102,    6.3345916640103965        8.58000032E-13
 r72102,    6.3474676527490876        8.59299990E-13
 r72102,    6.3596693370380510        8.60600003E-13
 r72102,    6.3716248273739406        8.61900015E-13
 r72102,    6.3840131347603766        8.63200028E-13
 r72102,    6.3976315904322751        8.64499986E-13
 r72102,    6.4131127371099588        8.65799999E-13
 r72102,    6.4305775281411544        8.67100012E-13
 r72102,    6.4494940918603847        8.68400024E-13
 r72102,    6.4688487598374875        8.69700037E-13
 r72102,    6.4874898225163324        8.70999995E-13
 r72102,    6.5044356470102001        8.72300008E-13
 r72102,    6.5190224285802998        8.73600020E-13
 r72102,    6.5309335675504308        8.74900033E-13
 r72102,    6.5401822906232514        8.76199991E-13
 r72102,    6.5471026030839781        8.77500004E-13
 r72102,    6.5523918204441953        8.78800017E-13
 r72102,    6.5570931490154996        8.80100029E-13
 r72102,    6.5624657502166057        8.81399988E-13
 r72102,    6.5698249014249992        8.82700000E-13
 r72102,    6.5801561486764886        8.84000013E-13
 r72102,    6.5937701741287578        8.85300026E-13
 r72102,    6.6101772232935625        8.86599984E-13
 r72102,    6.6282843015625099        8.87899997E-13
 r72102,    6.6468066152277219        8.89200009E-13
 r72102,    6.6645964290442219        8.90500022E-13
 r72102,    6.6807965916968310        8.91800034E-13
 r72102,    6.6948760125834301        8.93099993E-13
 r72102,    6.7066323532388452        8.94400005E-13
 r72102,    6.7162260331195673        8.95700018E-13
 r72102,    6.7242176398085896        8.97000031E-13
 r72102,    6.7315799068220974        8.98299989E-13
 r72102,    6.7395812593250932        8.99600002E-13
 r72102,    6.7494766173104859        9.00900014E-13
 r72102,    6.7620697092717101        9.02200027E-13
 r72102,    6.7773716535273474        9.03499985E-13
 r72102,    6.7946387604224405        9.04799998E-13
 r72102,    6.8127523328784676        9.06100011E-13
 r72102,    6.8306530124895826        9.07400023E-13
 r72102,    6.8475909619381472        9.08700036E-13
 r72102,    6.8631683123902043        9.10000048E-13
 r72102,    6.8773145668072360        9.11300007E-13
 r72102,    6.8902688694695362        9.12599965E-13
 r72102,    6.9026331543510260        9.13900032E-13
 r72102,    6.9153729477645678        9.15199990E-13
 r72102,    6.9296742306505292        9.16500057E-13
 r72102,    6.9465568492622305        9.17800016E-13
 r72102,    6.9663978192619034        9.19099974E-13
 r72102,    6.9887007753906589        9.20400041E-13
 r72102,    7.0122881537091004        9.21699999E-13
 r72102,    7.0357569569732865        9.22999958E-13
 r72102,    7.0578760309397621        9.24300025E-13
 r72102,    7.0777748721403961        9.25599983E-13
 r72102,    7.0949917397398012        9.26900050E-13
 r72102,    7.1094448446048171        9.28200008E-13
 r72102,    7.1213923273738402        9.29499967E-13
 r72102,    7.1313968577903442        9.30800033E-13
 r72102,    7.1402834941380311        9.32099992E-13
 r72102,    7.1490741146060302        9.33400059E-13
 r72102,    7.1588559005637906        9.34700017E-13
 r72102,    7.1705730173875226        9.35999975E-13
 r72102,    7.1847918148716037        9.37300042E-13
 r72102,    7.2015286492153878        9.38600001E-13
 r72102,    7.2202893270656405        9.39899959E-13
 r72102,    7.2402524757269333        9.41200026E-13
 r72102,    7.2605059053992926        9.42499984E-13
 r72102,    7.2802219897183083        9.43800051E-13
 r72102,    7.2987639306859355        9.45100010E-13
 r72102,    7.3157455741160096        9.46399968E-13
 r72102,    7.3310613050813451        9.47700035E-13
 r72102,    7.3449011854908575        9.48999993E-13
 r72102,    7.3577024596534217        9.50300060E-13
 r72102,    7.3700403869624083        9.51600018E-13
 r72102,    7.3824215426174362        9.52899977E-13
 r72102,    7.3950853502682437        9.54200044E-13
 r72102,    7.4078871609033703        9.55500002E-13
 r72102,    7.4203132676079111        9.56799960E-13
 r72102,    7.4316247337860784        9.58100027E-13
 r72102,    7.4410675228465708        9.59399986E-13
 r72102,    7.4480480211387601        9.60700052E-13
 r72102,    7.4522831948013089        9.62000011E-13
 r72102,    7.4538860186634865        9.63299969E-13
 r72102,    7.4533937274587201        9.64600036E-13
 r72102,    7.4517386073271519        9.65899995E-13
 r72102,    7.4501317728926120        9.67200061E-13
 r72102,    7.4498275156420233        9.68500020E-13
 r72102,    7.4518216353542712        9.69799978E-13
 r72102,    7.4565648129284030        9.71100045E-13
